Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
ant,1.3,1.7,naive_bayes,mutation,0.3,{},0.8201342281879195,0.4596774193548387,0.650097800528539,0.3991480018065142,0.6951219512195121,0.3433734939759036,0.9568221070811744,0.0431778929188255,0.5346921992646576,0.5731905006381813,0.8015365458945908
ant,1.3,1.7,decision_tree,mutation,0.3,{'classification__criterion': 'log_loss'; 'classification__max_depth': 9; 'classification__max_features': 'auto'},0.7758389261744967,0.3399209486166007,0.5915215265205902,0.2371777821709786,0.4942528735632184,0.2590361445783132,0.924006908462867,0.0759930915371329,0.473311104634462,0.4892353085499323,0.7628320381765356
ant,1.3,1.7,random_forest,mutation,0.3,{'classification__criterion': 'entropy'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 40},0.7879194630872484,0.1123595505617977,0.5283933662109579,0.1877144023710698,0.8333333333333334,0.0602409638554216,0.996545768566494,0.003454231433506,0.3354855239612221,0.2450160762572276,0.8090291110876359
ant,1.3,1.7,svm,mutation,0.3,{'classification__coef0': 3; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.8134228187919463,0.4714828897338403,0.6565224629086294,0.3871030779047662,0.6391752577319587,0.3734939759036144,0.9395509499136442,0.0604490500863557,0.5549360237643337,0.5923821569285023,0.789716405835137
ant,1.3,1.4,knn,mutation,0.4,{'classification__n_neighbors': 15},0.5449438202247191,0.2568807339449541,0.4757246376811594,-0.0415936909722231,0.2028985507246377,0.35,0.6014492753623188,0.3985507246376811,0.4608605560204203,0.4588106868598546,0.577895546271186
ant,1.3,1.4,naive_bayes,mutation,0.4,{},0.6741573033707865,0.3555555555555555,0.5768115942028985,0.1426712040454138,0.32,0.4,0.7536231884057971,0.2463768115942029,0.5413598723992169,0.5490439648719571,0.6452957950113133
ant,1.3,1.4,decision_tree,mutation,0.4,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.6685393258426966,0.2337662337662337,0.5110507246376812,0.0227342103201204,0.2432432432432432,0.225,0.7971014492753623,0.2028985507246377,0.433522806334554,0.4234947769299599,0.662018551618318
ant,1.3,1.4,random_forest,mutation,0.4,{'classification__criterion': 'gini'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 10},0.702247191011236,0.3291139240506329,0.5682971014492754,0.1378358228916578,0.3333333333333333,0.325,0.8115942028985508,0.1884057971014492,0.504459010584678,0.5135836017067027,0.6778585718470879
ant,1.3,1.4,svm,mutation,0.4,{'classification__coef0': 0; 'classification__degree': 2; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6685393258426966,0.3789473684210526,0.5909420289855072,0.1642972421248445,0.3272727272727272,0.45,0.7318840579710145,0.2681159420289855,0.5673418448878548,0.5738883393892549,0.6360581417117568
ant,1.3,1.5,knn,mutation,0.4,{'classification__n_neighbors': 15},0.6484641638225256,0.2695035460992908,0.6244612068965517,0.1606338564979487,0.1743119266055046,0.59375,0.6551724137931034,0.3448275862068966,0.6232075327788023,0.6237055560836822,0.6717955248305031
